epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11215,0.52379,0.5241,1.01753,0.94044,0.90851,0.96083,0.88676,0.4043,0.34788,0.88837,0.005842,0.005842,0.005842
44,11468.3,0.52072,0.5073,1.01167,0.94572,0.89923,0.95999,0.88646,0.39932,0.35123,0.87928,0.005743,0.005743,0.005743
45,11722.3,0.52083,0.50281,1.00833,0.94205,0.90692,0.95914,0.88671,0.40029,0.35352,0.87761,0.005644,0.005644,0.005644
46,11976.3,0.51924,0.50019,1.01141,0.95365,0.89094,0.95939,0.88761,0.39924,0.34683,0.879,0.005545,0.005545,0.005545
47,12230.5,0.51659,0.49197,1.00622,0.94715,0.90291,0.96094,0.8906,0.39669,0.33937,0.87734,0.005446,0.005446,0.005446
48,12484.7,0.50967,0.48598,1.00608,0.9373,0.91312,0.96229,0.88967,0.39771,0.33497,0.87894,0.005347,0.005347,0.005347
49,12738.6,0.51361,0.48544,1.00232,0.94191,0.90095,0.96062,0.89032,0.39302,0.33826,0.87016,0.005248,0.005248,0.005248
50,12993.9,0.50741,0.47408,0.99898,0.93407,0.90959,0.9602,0.89196,0.39158,0.33889,0.86821,0.005149,0.005149,0.005149
51,13248,0.50559,0.47231,1.00005,0.93791,0.90449,0.95818,0.88876,0.39157,0.34183,0.87033,0.00505,0.00505,0.00505
52,13501.4,0.50024,0.46813,1.00177,0.94421,0.90122,0.95915,0.88941,0.38977,0.34174,0.8711,0.004951,0.004951,0.004951
53,13756.5,0.4996,0.45902,0.9959,0.93487,0.91093,0.95828,0.8891,0.38996,0.33749,0.8745,0.004852,0.004852,0.004852
54,14010.4,0.49405,0.46331,0.99608,0.93715,0.90676,0.95835,0.89005,0.38941,0.3344,0.87619,0.004753,0.004753,0.004753
55,14264.5,0.49372,0.44682,0.99358,0.94316,0.90692,0.96027,0.89202,0.3876,0.33081,0.87415,0.004654,0.004654,0.004654
56,14518.4,0.48603,0.44221,0.99425,0.93977,0.91234,0.96005,0.89233,0.38953,0.33234,0.87839,0.004555,0.004555,0.004555
57,14772.4,0.48567,0.44127,0.98902,0.93773,0.91916,0.9607,0.89316,0.38815,0.32631,0.87735,0.004456,0.004456,0.004456
58,15026.3,0.48054,0.42968,0.98763,0.92912,0.92161,0.95964,0.89243,0.38503,0.32874,0.87488,0.004357,0.004357,0.004357
