epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,295.183,1.29327,1.66764,1.57224,0.5822,0.46667,0.4103,0.1582,2.15969,2.15897,2.72846,0.0011684,0.0011684,0.0011684
44,301.972,1.23493,1.58352,1.53451,0.38606,0.54543,0.37944,0.1468,2.07927,1.95439,2.66559,0.0011486,0.0011486,0.0011486
45,308.702,1.24764,1.5658,1.54537,0.42276,0.53333,0.47565,0.1793,2.10099,1.83242,2.56714,0.0011288,0.0011288,0.0011288
46,315.473,1.23868,1.58803,1.52771,0.26209,0.53333,0.3395,0.12937,2.36737,2.00482,2.93663,0.001109,0.001109,0.001109
47,322.35,1.16148,1.49144,1.48628,0.53637,0.53333,0.41401,0.17243,2.17471,2.06011,2.6475,0.0010892,0.0010892,0.0010892
48,329.317,1.22047,1.50293,1.52549,0.34963,0.6,0.34456,0.14079,2.2013,1.84024,2.5471,0.0010694,0.0010694,0.0010694
49,336.058,1.22244,1.51239,1.51191,0.58617,0.6,0.45653,0.18166,2.03863,2.10292,2.57114,0.0010496,0.0010496,0.0010496
50,342.804,1.18281,1.44594,1.50154,0.28614,0.53333,0.23844,0.0901,2.02746,2.27462,2.48655,0.0010298,0.0010298,0.0010298
51,349.527,1.22626,1.4865,1.52028,0.45078,0.60199,0.40495,0.13655,1.82478,2.0196,2.27652,0.00101,0.00101,0.00101
52,356.299,1.16556,1.47118,1.4897,0.74475,0.39021,0.45367,0.20854,1.74373,1.90865,2.28562,0.0009902,0.0009902,0.0009902
53,363.03,1.10901,1.40265,1.4411,0.57358,0.53333,0.53545,0.28823,1.67092,1.77873,2.14834,0.0009704,0.0009704,0.0009704
54,369.955,1.10303,1.34298,1.41773,0.5005,0.66667,0.53326,0.27616,1.77822,1.66734,2.29637,0.0009506,0.0009506,0.0009506
55,376.682,1.17669,1.41978,1.51879,0.48033,0.53333,0.47211,0.20854,1.85063,1.74918,2.4049,0.0009308,0.0009308,0.0009308
56,383.429,1.18827,1.39089,1.48808,0.60803,0.51804,0.49481,0.24229,1.79012,1.73507,2.34904,0.000911,0.000911,0.000911
57,390.099,1.08192,1.35879,1.41458,0.46854,0.53333,0.4701,0.2048,1.75959,1.82024,2.2438,0.0008912,0.0008912,0.0008912
58,396.857,1.05299,1.31536,1.39015,0.59823,0.53333,0.44935,0.176,1.8615,2.1205,2.26343,0.0008714,0.0008714,0.0008714
